"Name","AUS","CHN","JAP","BAH","SAU","MIA","EmR","MON","SPN","CAN","AUT","GBR","BEL","HUN","NLD","MZA","AZE","SGP","TEX","MEX","BRA","LAS","QAT","ABU","CDP","Points","Bets","Total","PSQP","Final"
"MatthewA","20","20","35","","","","","","","","","","","","","","","","","","","","","","7","75","0","75","",""
"KrzysztofB","25","30","20","","","","","","","","","","","","","","","","","","","","","","5","75","0","75","",""
"DayaraY","25","15","35","","","","","","","","","","","","","","","","","","","","","","3","75","0","75","",""
"DearbhlaR","5","30","30","","","","","","","","","","","","","","","","","","","","","","4","65","0","65","",""
"DavidJ","10","30","22.5","","","","","","","","","","","","","","","","","","","","","","5","62.5","0","62.5","",""
"StevenR","15","10","35","","","","","","","","","","","","","","","","","","","","","","1","60","0","60","",""
"JasonD","10","20","20","","","","","","","","","","","","","","","","","","","","","","2","50","0","50","",""
"PhilW","10","20","20","","","","","","","","","","","","","","","","","","","","","","2","50","0","50","",""
"StephenD","15","20","10","","","","","","","","","","","","","","","","","","","","","","3","45","0","45","",""
"JacobG","5","20","20","","","","","","","","","","","","","","","","","","","","","","2","45","0","45","",""
"ColmF","5","10","27.5","","","","","","","","","","","","","","","","","","","","","","1","42.5","0","42.5","",""
"ThomasM","10","5","27.5","","","","","","","","","","","","","","","","","","","","","","1","42.5","0","42.5","",""
